playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
3GmKyei4LnAIlY7GIFeAw6,Indonesian Ballad Hits ✨,71,9yl7nurgimthcjrmzcg0odn7s,Aerinaeri,417
6WvJEPShe3VOnZeAPgsqH5,twice ballads/slow/soft songs,47,0jojt6iacj0b1qyxyo56421te,렌 Swift,381
0h91jZ8sdCwRU5fa74Eq51,OPM Love Ballads 2022 😙,67,jyhra99st5nhex8kfo4um2dh7,buntala,356
3ngqyrRsuXhNeAOrtFhuO8,Ballad buồn,21,31gjdigxa7742telsdphr6fse7j4,dctoc,346
2IMvB86AollZzBKjRX2FRP,Best of Irish Ballads,34,fwhyv71sndniqqmv9t525q1gn,Mei  C Man,324
0opxjJaVjwXJvyMKodeDxO,BTS Ballad,82,ef194c9zr6e93sh8oecht3ukl,You,307
36zS4WRXDb0mXfg0YihIFn,Ballady miłosne,89,9njy1q1evr15j29dolvup7sb8,Tomasz Grzechnik,254
7pjgS4iqvLTKSvmiKuXMyb,Ballady Romantyczne,86,sunkclth8qs4kl64q93j2cu56,Irek,247
29hCO4qQWk3Rh3CvdakgCK,balladen 2000-er,48,1124231207,Fred Delno,228
0ayDMz2eFDd0UWq9faUEHy,OPM MALE BALLADS,45,a4q7vj9xgfpycb2m4p37qmcgc,Te Joy,217
7x6t64n9b8jovxeuhqWALO,Ballade Pour Adeline,52,1yj777e0qp6f0kjxxugknp4bv,Nolyg.antazo,207
0dqKlgxkoa62Oqv7qsarzN,Ballad for Adeline,23,larry_agpuldo,larry_agpuldo,149
6gtrxyKSJ2Kl9awP9hzT9Y,Ballads of a Gunfighter,36,coop-9,Thecwby,83
1QbcH0cB4Al03QWLVdRJM5,Ballad nhẹ nhàng ❤️,37,31czfojrz3j3t3srjyscc62ce534,Phi Long,76
6gEZjGHE6Ot9pBz3Z0jir3,Ballads & Love Songs,317,spongepola,spongepola,50
