track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,04G0YylSjvDQZrjOfE5jA5,242946,2008-05-12,81,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,37i9dQZF1DWYMvTygsLWlG,Love Ballads
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,7xe8VI48TxUpU1IIo0RfGi,182360,1961-10-20,81,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,6TqRKHLjDu5QZuC8u5Woij,228706,2003-12-02,80,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,6Vip5A5NmEazvKuxj6GLYf,260285,2018-03-09,81,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3EPXxR3ImUwfayaurPi3cm,Be Alright,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,0YZLXTaHLcgl5UdtKDiUXD,196373,2018-06-29,80,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,19ra5tSw0tWufvUp8GotLo,George Michael,3coLNlyStg9h7f8CZ103Rl,300106,1998-11-09,80,0.574,0.628,2,-8.815,0,0.036,0.13,0.0,0.271,0.803,153.119,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3SdTKo2uVsxFblQjpScoHy,Stand by Me,3plJVWt88EqjvtuB4ZDRV3,Ben E. King,18Fj7coTfyMi7mEPXIweN7,180055,1962-08-20,80,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,37i9dQZF1DWYMvTygsLWlG,Love Ballads
745H5CctFr12Mo7cqa1BMH,My Girl,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,45tweuKI0zdh8zgKo05cTw,165000,1965-03-22,80,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,4dpARuHxo51G3z768sgnrY,Adele,0Lg1uZvI312TPqxNWShFXL,285240,2011-01-24,79,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,51Blml2LZPmy7TTiAg47vQ,U2,5y6wlw1LnqFnQFruMeiwGU,295515,1987-03-03,79,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,04gDigrS5kc9YWfZHwBETP,Maroon 5,5zClcGCSWj926AMjvBNSLc,259453,2002,79,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,4oQhDQDKMeI6IMlwpXt3j8,304786,1984-12-12,79,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,37i9dQZF1DWYMvTygsLWlG,Love Ballads
38zsOOcu31XbbYj9BIPUF1,Your Song,3PhoLpVuITZKcymswpck5b,Elton John,69P9Ro0W286yLFgYwrGVN0,241786,1970-04-10,79,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,7BrlhEO8dHiNmU8A1Ep9RZ,208687,2019-10-17,79,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,37i9dQZF1DWYMvTygsLWlG,Love Ballads
73CMRj62VK8nUS4ezD2wvi,Set Fire to the Rain,4dpARuHxo51G3z768sgnrY,Adele,0Lg1uZvI312TPqxNWShFXL,242973,2011-01-24,78,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,37i9dQZF1DWYMvTygsLWlG,Love Ballads
754kgU5rWscRTfvlsuEwFp,Kiss Me,0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,0PrcwzkQVEy4y6JPvT5bix,208680,1997-11-22,78,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6IwKcFdiRQZOWeYNhUiWIv,No One,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,6KlxyxhXEDo1LdheFulN7h,253813,2007-11-09,78,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,37i9dQZF1DWYMvTygsLWlG,Love Ballads
