track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_dance pop_prob,predicted_karaoke_prob,predicted_opm ost_prob,predicted_rnb_prob,predicted_rock_prob
6V9kwssTrwkKT72imgowj9,My Type,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,217413,2017-04-07,54,0.604,0.603,7.0,0.7339201637666324,0.0,0.0389,0.0357,0.0,0.126,0.15,0.27013345325489824,0,dance pop,0.3849318690729854,0.3849318690729854,0.20676209413835472,0.15525157826120756,0.13872502785343058,0.11432943067402189
2xJlJ7vhnt8yBfA4vwcwZW,Pakinabang,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,0GEfyKd50hzLPG93kDgsUd,430349,2019-08-05,0,0.809,0.55,2.0,0.5739611054247696,1.0,0.144,0.185,0.0,0.0558,0.837,0.6347476785453838,3,rnb,0.3849087252074685,0.2606804735974276,0.10636450326089086,0.022872159073598266,0.3849087252074685,0.22517413886061438
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,6pOiDiuDQqrmo5DbG0ZubR,212352,2021-09-17,81,0.741,0.691,10.0,0.6900716479017399,0.0,0.0672,0.0221,0.0,0.0476,0.892,0.6049698575526277,4,rock,0.38484680848461533,0.3699448201539472,0.13072616452273175,0.026989762322146064,0.08749244451655941,0.38484680848461533
1WXs4O7mBxXglHJPwYweHq,Demonyo,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,67vvDiZLNyjNQ1gU6El7GC,218000,2017-01-27,61,0.415,0.508,0.0,0.6174411463664278,1.0,0.0363,0.0509,0.0162,0.103,0.114,0.839892556760173,2,opm ost,0.3847825749959278,0.045653048588897106,0.25998736386347543,0.3847825749959278,0.03863344842759045,0.2709435641241089
3fGW43fnu3OHEw6ohTC2Bw,Our Song,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,4AeowfpQNCScPBpPhnovKM,163733,2021-07-23,71,0.572,0.759,2.0,0.8162947799385873,1.0,0.0506,0.127,0.0,0.224,0.519,0.18481695755748945,0,dance pop,0.38471349953180145,0.38471349953180145,0.1239311983274545,0.06882085304102409,0.13472802276650375,0.2878064263332165
7fSPXg9avmHAkLopHA7YFe,Down (feat. Gucci Mane),1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,0kHFNaPXHGZitDEqNb88ws,165200,2017-08-25,36,0.53,0.512,8.0,0.7023950870010234,1.0,0.133,0.0162,7.04e-05,0.128,0.401,0.8847233701200837,1,karaoke,0.38455744697708705,0.11753846313617608,0.38455744697708705,0.12166691711792763,0.24780653082044354,0.12843064194836612
20H2Hd5AkUcRjB4yL3UQtJ,Down,1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,5aB1cocy4MjfE1bCunuvp1,165200,2017-08-25,0,0.53,0.512,8.0,0.7023950870010234,1.0,0.133,0.0162,7.04e-05,0.128,0.401,0.8847233701200837,1,karaoke,0.38455744697708705,0.11753846313617608,0.38455744697708705,0.12166691711792763,0.24780653082044354,0.12843064194836612
7LEydI5NfjY6mZfKwYIptZ,Down,1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,4Vnd3H0kmhG3lpLa2T4VtK,164985,2017-06-01,0,0.53,0.512,8.0,0.7023950870010234,1.0,0.133,0.0162,7.04e-05,0.128,0.401,0.8847233701200837,1,karaoke,0.38455744697708705,0.11753846313617608,0.38455744697708705,0.12166691711792763,0.24780653082044354,0.12843064194836612
6YdeXX7BK4XBcRXTjOdMwf,The Life,24fEOzlKhgSNLIcy9NdmwH,James Reid,6QGOAQXiZqSbVb4JSZEEgG,218571,2017-07-08,0,0.676,0.611,11.0,0.7668781985670419,0.0,0.0821,0.734,0.0,0.115,0.347,0.3716211288832709,2,opm ost,0.3843746121423323,0.10945499117863525,0.2669629654232662,0.3843746121423323,0.1970279175644616,0.04217951369130461
32L3JmBCqHyvM16zyTcGVQ,Sulyap,021sXp6RH5MQCCp2hmal6q,Jom,4j1wlzNGV9OzdRB9L6L50Z,211923,2020-09-11,0,0.651,0.536,9.0,0.6581371545547594,1.0,0.035,0.268,3.47e-05,0.163,0.736,0.20333390052992373,3,rnb,0.3842755326815378,0.08198540103259137,0.07663266549244001,0.09258262878736942,0.3842755326815378,0.3645237720060614
6u7gmPOz7pzzaeR9xSBpsR,my hair,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,158436,2020-10-30,62,0.686,0.526,0.0,0.7127123848515864,1.0,0.0374,0.0815,7.75e-06,0.144,0.372,0.25204798483154267,3,rnb,0.38422766871148245,0.2517997367927034,0.16289245737437655,0.09773401695245358,0.38422766871148245,0.10334612016898442
5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,4xRYI6VqpkE3UwrDrAZL8L,Logic,1sweBli5bv5QIothRFFMsf,250173,2017-05-05,0,0.627,0.572,5.0,0.6760286591606959,0.0,0.0373,0.568,1.52e-06,0.198,0.361,0.30083499440906214,2,opm ost,0.38406595030541407,0.12155402307559711,0.13920041130379002,0.38406595030541407,0.22910009135888398,0.1260795239563151
41L3O37CECZt3N7ziG2z7l,Yummy,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1SN6N3fNkZk5oXQ9X46QZ3,210426,2020-01-03,70,0.687,0.514,9.0,0.7221289662231319,0.0,0.0897,0.366,0.0,0.116,0.494,0.5796526326024599,3,rnb,0.384061405015624,0.19502116909935546,0.20064477242010154,0.14203724925649783,0.384061405015624,0.07823540420842146
09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),6LuN9FCkKOj5PcnpouEgny,Khalid,6KT8x5oqZJl9CcnM66hddo,177066,2019-04-05,66,0.729,0.545,0.0,0.6727533265097236,1.0,0.0316,0.0174,0.000274,0.369,0.514,0.31889007730079244,3,rnb,0.3839794594202495,0.3839794594202495,0.08867163490135894,0.036117873893180746,0.344139611519071,0.14709142026613994
31L9yLXSj6LpCFupyMV6CR,Up&Up,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,3cfAM8b8KqJRoIzt3zLKqw,405320,2015-12-04,70,0.479,0.717,7.0,0.7693346980552711,1.0,0.0605,0.0488,0.000333,0.102,0.253,0.6894537896835043,0,dance pop,0.38391434176418926,0.38391434176418926,0.25399119689297656,0.1374617008710272,0.026004999967557233,0.19862776050424977
2zjEMw9kkROEbAxIXk6Ivp,Shadow of the Day,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2FJ7JZqCtWXd9MjuBQhCP4,290360,2007-05-11,13,0.534,0.393,11.0,0.6729580348004094,1.0,0.0292,0.00479,0.0107,0.107,0.0641,0.36139943604453306,2,opm ost,0.38390110193493354,0.04925015144817696,0.23104641741275342,0.38390110193493354,0.2138136998895463,0.12198862931458963
4nTjkWK590oBDcnIxTr1mI,Favorite Girl,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1rG5TDs3jYh6OU753I54CI,256800,2009-01-01,72,0.581,0.681,7.0,0.8098669396110542,1.0,0.0435,0.0472,0.0,0.104,0.634,0.7626525353687587,0,dance pop,0.3837500331234061,0.3837500331234061,0.2680069693179563,0.07197494643814337,0.05021141468514315,0.226056636435351
7CHi4DtfK4heMlQaudCuHK,Lose Control,0xRXCcSX89eobfrshSVdyu,MEDUZA,1qSOaTvsCOyFJya3v1UzkP,168387,2019-10-11,78,0.598,0.526,10.0,0.6383213920163766,0.0,0.0415,0.129,0.0,0.14,0.529,0.446041372939861,4,rock,0.38371895474770185,0.17608853489549453,0.09768866741302304,0.11439546350967247,0.22810837943410842,0.38371895474770185
6bqtz4ZWARclhSCvto5elB,Eba,6gcteR920pLEynlHzjSRYd,Kiyo,68AJXXkzPkvoyDaZlNK60c,218830,2021-11-26,29,0.704,0.539,11.0,0.5908700102354145,1.0,0.0357,0.184,0.000492,0.13,0.7,0.2398208469055375,3,rnb,0.3834648643187253,0.11534799715106266,0.0642658795280704,0.06843438648633633,0.36848687251580564,0.3834648643187253
3rheINeddqah49dElHlqbZ,Branches,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4u4B66x0l6yCVbSsedgMy6,217535,2018-11-09,47,0.475,0.704,9.0,0.77007164790174,1.0,0.0508,0.471,0.0,0.0598,0.488,0.4250753561184306,4,rock,0.3833642501487116,0.11157867481559373,0.151347506165452,0.27567421260063046,0.07803535626961239,0.3833642501487116
2Y0ktCGrGoGcQFXsGztvhi,Naughty List (with Dixie),5pUo3fmmHT8bhCyHE52hA6,Liam Payne,2xvYb1xTCb5hhxzXub0RdM,154746,2020-10-30,48,0.619,0.771,9.0,0.9025997952917092,1.0,0.0601,0.0318,0.0,0.114,0.704,0.1909912975837425,0,dance pop,0.38329546710428364,0.38329546710428364,0.20034748269551048,0.049346981514977746,0.1607410574822088,0.20626901120301927
1Yk0cQdMLx5RzzFTYwmuld,Hello,4dpARuHxo51G3z768sgnrY,Adele,6TVfiWmo8KtflUAmkK9gGF,295502,2015-11-20,74,0.578,0.43,5.0,0.7416990788126918,0.0,0.0305,0.33,0.0,0.0854,0.288,0.17291190626671205,3,rnb,0.38329054220471337,0.028756605844123935,0.1673135927044566,0.3537186333632153,0.38329054220471337,0.06692062588349129
5T8bLnWG8sg9ER8RKNZbCB,Before I Let You Go,0jarApAsbmiCkYhz0590mE,Freestyle,1UeL9KHbWPUf203QjU6NvN,289266,1998-09-26,4,0.655,0.348,4.0,0.49780962128966216,1.0,0.0356,0.176,0.0,0.161,0.0641,0.4221948077203559,3,rnb,0.38304861006382035,0.038828439605528405,0.10275050403122774,0.38304861006382035,0.3753059415796993,0.10006650471972417
2OpBganfGk2GVdSlRdxzaX,Better,6LuN9FCkKOj5PcnpouEgny,Khalid,4UNwL1B7JoymNUiTFJa52B,229320,2018-10-19,59,0.695,0.586,0.0,0.5705220061412486,0.0,0.0658,0.102,0.317,0.113,0.112,0.2886443191210073,3,rnb,0.3830342295245959,0.23088027218827986,0.04903080841024643,0.08959784398001396,0.3830342295245959,0.24745684589686395
1Ww45Ptywr2Ib4vISnJPFW,Zombie,5TnQc2N1iKlFjYD7CPGvFc,DAY6,7oecpGDf5OnW8UO7WlJDbK,209259,2020-05-11,0,0.79,0.542,0.0,0.8241965199590582,1.0,0.0438,0.0117,0.0,0.0818,0.527,0.4341727842870339,0,dance pop,0.3828407937977929,0.3828407937977929,0.27607742902828,0.03878437507165443,0.2629983597933923,0.039299042308880344
4s0dJmVknlUl7V6oK3puzZ,Zombie,5TnQc2N1iKlFjYD7CPGvFc,DAY6,3JX0hnu8b55RtbtEdUSYor,209259,2020-05-11,57,0.79,0.542,0.0,0.8241965199590582,1.0,0.0438,0.0117,0.0,0.0818,0.527,0.4341727842870339,0,dance pop,0.3828407937977929,0.3828407937977929,0.27607742902828,0.03878437507165443,0.2629983597933923,0.039299042308880344
2qLMf6TuEC3ruGJg4SMMN6,Lucky,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,1UwzOp5hn3lAbOqsAfXBw8,189613,2008-05-01,68,0.625,0.414,0.0,0.6366427840327533,1.0,0.0369,0.294,0.0,0.151,0.669,0.4834338081579075,4,rock,0.3827733530099157,0.055668574609769476,0.10408924294190916,0.15311914453858821,0.3043496848998176,0.3827733530099157
2qLMf6TuEC3ruGJg4SMMN6,Lucky,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,1UwzOp5hn3lAbOqsAfXBw8,189613,2008-05-01,68,0.625,0.414,0.0,0.6366427840327533,1.0,0.0369,0.294,0.0,0.151,0.669,0.4834338081579075,4,rock,0.3827733530099157,0.055668574609769476,0.10408924294190916,0.15311914453858821,0.3043496848998176,0.3827733530099157
2qLMf6TuEC3ruGJg4SMMN6,Lucky,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,1UwzOp5hn3lAbOqsAfXBw8,189613,2008-05-01,68,0.625,0.414,0.0,0.6366427840327533,1.0,0.0369,0.294,0.0,0.151,0.669,0.4834338081579075,4,rock,0.3827733530099157,0.055668574609769476,0.10408924294190916,0.15311914453858821,0.3043496848998176,0.3827733530099157
2qLMf6TuEC3ruGJg4SMMN6,Lucky,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,1UwzOp5hn3lAbOqsAfXBw8,189613,2008-05-01,68,0.625,0.414,0.0,0.6366427840327533,1.0,0.0369,0.294,0.0,0.151,0.669,0.4834338081579075,4,rock,0.3827733530099157,0.055668574609769476,0.10408924294190916,0.15311914453858821,0.3043496848998176,0.3827733530099157
