,album_id,album_name,release_date_x,artist_name_x,track_id,track_name,artist_name_y,release_date_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
11,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,634pM5YJnpbYluFGSfL6kj,Talk to Me Sweetly,Morissette,2020-11-20,0.537,0.658,7,-3.746,1,0.0332,0.677,0.0,0.217,0.157,126.15,audio_features,634pM5YJnpbYluFGSfL6kj,spotify:track:634pM5YJnpbYluFGSfL6kj,https://api.spotify.com/v1/tracks/634pM5YJnpbYluFGSfL6kj,https://api.spotify.com/v1/audio-analysis/634pM5YJnpbYluFGSfL6kj,207158,4
12,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,1U9uGxxeanjJHEwEhwr1be,What Do You See in Me,Morissette,2020-11-20,0.336,0.508,4,-4.577,1,0.0287,0.491,0.0,0.102,0.24,167.108,audio_features,1U9uGxxeanjJHEwEhwr1be,spotify:track:1U9uGxxeanjJHEwEhwr1be,https://api.spotify.com/v1/tracks/1U9uGxxeanjJHEwEhwr1be,https://api.spotify.com/v1/audio-analysis/1U9uGxxeanjJHEwEhwr1be,213000,4
13,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,5F9ISpdcNyZjDrzCCYvuxS,Up to You,Morissette,2020-11-20,0.475,0.589,4,-4.212,1,0.0275,0.274,0.0,0.107,0.224,149.735,audio_features,5F9ISpdcNyZjDrzCCYvuxS,spotify:track:5F9ISpdcNyZjDrzCCYvuxS,https://api.spotify.com/v1/tracks/5F9ISpdcNyZjDrzCCYvuxS,https://api.spotify.com/v1/audio-analysis/5F9ISpdcNyZjDrzCCYvuxS,212140,4
14,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,75mlcREQfQuJfXkJGbA3WG,Only Want to Love You,Morissette,2020-11-20,0.433,0.608,8,-4.62,1,0.0283,0.302,0.0,0.165,0.203,78.009,audio_features,75mlcREQfQuJfXkJGbA3WG,spotify:track:75mlcREQfQuJfXkJGbA3WG,https://api.spotify.com/v1/tracks/75mlcREQfQuJfXkJGbA3WG,https://api.spotify.com/v1/audio-analysis/75mlcREQfQuJfXkJGbA3WG,213159,4
15,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette,0tAJv04DVpYYswxcGweH1g,Ring Ring Ring (2020 MIX),Morissette,2020-11-20,0.38,0.594,6,-4.134,1,0.0428,0.0131,3.84e-06,0.143,0.283,130.118,audio_features,0tAJv04DVpYYswxcGweH1g,spotify:track:0tAJv04DVpYYswxcGweH1g,https://api.spotify.com/v1/tracks/0tAJv04DVpYYswxcGweH1g,https://api.spotify.com/v1/audio-analysis/0tAJv04DVpYYswxcGweH1g,181385,4
16,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,22ZjYxCtQBd6bOahpN0CBv,Throwback,Morissette,2015-01-01,0.727,0.835,0,-5.358,1,0.0611,0.494,0.0,0.354,0.962,145.996,audio_features,22ZjYxCtQBd6bOahpN0CBv,spotify:track:22ZjYxCtQBd6bOahpN0CBv,https://api.spotify.com/v1/tracks/22ZjYxCtQBd6bOahpN0CBv,https://api.spotify.com/v1/audio-analysis/22ZjYxCtQBd6bOahpN0CBv,256447,4
17,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,4ZsaVVO1gaTR3BrqdtHb1C,Di Mapaliwanag,Morissette,2015-01-01,0.658,0.483,9,-7.673,1,0.0267,0.336,0.000393,0.119,0.242,93.973,audio_features,4ZsaVVO1gaTR3BrqdtHb1C,spotify:track:4ZsaVVO1gaTR3BrqdtHb1C,https://api.spotify.com/v1/tracks/4ZsaVVO1gaTR3BrqdtHb1C,https://api.spotify.com/v1/audio-analysis/4ZsaVVO1gaTR3BrqdtHb1C,194903,4
18,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,6GWGvXLYAWmPoGLNrQufiC,Hinahanap Pa Rin,Morissette,2015-01-01,0.325,0.358,5,-8.094,1,0.0377,0.678,9.61e-06,0.0759,0.121,132.361,audio_features,6GWGvXLYAWmPoGLNrQufiC,spotify:track:6GWGvXLYAWmPoGLNrQufiC,https://api.spotify.com/v1/tracks/6GWGvXLYAWmPoGLNrQufiC,https://api.spotify.com/v1/audio-analysis/6GWGvXLYAWmPoGLNrQufiC,242184,4
19,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,3iOmvu7fbgUNcbmWs6YlbU,"Mahal Kita, Mahal Mo Sya, Mahal Nya Ay Iba",Morissette,2015-01-01,0.512,0.414,7,-8.726,1,0.0316,0.692,2.33e-05,0.372,0.168,139.918,audio_features,3iOmvu7fbgUNcbmWs6YlbU,spotify:track:3iOmvu7fbgUNcbmWs6YlbU,https://api.spotify.com/v1/tracks/3iOmvu7fbgUNcbmWs6YlbU,https://api.spotify.com/v1/audio-analysis/3iOmvu7fbgUNcbmWs6YlbU,274994,4
20,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,68njfa6k19aGCPvCLzKOMk,You and I,Morissette,2015-01-01,0.466,0.373,2,-8.847,1,0.0301,0.154,0.000886,0.237,0.19,71.998,audio_features,68njfa6k19aGCPvCLzKOMk,spotify:track:68njfa6k19aGCPvCLzKOMk,https://api.spotify.com/v1/tracks/68njfa6k19aGCPvCLzKOMk,https://api.spotify.com/v1/audio-analysis/68njfa6k19aGCPvCLzKOMk,239442,4
