track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6IwKcFdiRQZOWeYNhUiWIv,No One,78,253813,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,78,277476,51Blml2LZPmy7TTiAg47vQ,U2,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,78,212200,5e4Dhzv426EvQe3aDb64jL,Shania Twain,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7w5AOd6HrDIHewHfpABEss,Wicked Game,78,289066,7290H8m1Dwt8G7jm1y9CQx,Chris Isaak,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),78,438493,"['05YVYeV4HxYp5rrWalvuE1', '1ThoqLcyIYvZn7iWbj8fsj']","['Grover Washington, Jr.', 'Bill Withers']",2,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,77,243360,3Z02hBLubJxuFJfhacLSDc,Bryan Adams,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,77,271093,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1GeNWyZtCHbcp3ZWp8GTOO,The Lady In Red,77,256173,2RpHsROrX075xfIwHn6B2U,Chris de Burgh,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,76,209493,7KMqksf0UMdyA0UCf4R3ux,James Blunt,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,76,225026,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
